epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,406.589,0.88926,0.336,0.35004,0.61816,1.02163,0.99456,1,0.995,0.6746,0.91168,0.91667,0.90334,0.90334,1.22179,0.79565,0.04188,0.54766,1.03715,0.000242758,0.000242758,0.000242758
105,413.107,0.96028,0.35591,0.31406,0.60392,1.06179,0.98841,1,0.995,0.69016,0.9058,0.91667,0.89881,0.85766,1.074,0.91701,0.04726,0.51361,0.97369,0.00024026,0.00024026,0.00024026
106,419.367,0.91686,0.35643,0.35743,0.55895,1.05376,0.98841,1,0.995,0.69016,0.9058,0.91667,0.89881,0.85766,1.074,0.91701,0.04726,0.51361,0.97369,0.000237762,0.000237762,0.000237762
107,425.717,0.89679,0.30345,0.27101,0.54825,1.05449,0.9937,1,0.995,0.62039,0.91089,0.91667,0.8897,0.87606,1.31544,0.89278,0.04055,0.56343,1.08333,0.000235265,0.000235265,0.000235265
108,431.255,0.96562,0.26936,0.36894,0.55923,1.07993,0.99462,1,0.995,0.73407,0.91402,0.91667,0.92292,0.9079,0.90658,0.88843,0.04432,0.44971,0.92162,0.000232767,0.000232767,0.000232767
109,439.401,1.06025,0.29421,0.35293,0.59236,1.13247,0.99462,1,0.995,0.73407,0.91402,0.91667,0.92292,0.9079,0.90658,0.88843,0.04432,0.44971,0.92162,0.00023027,0.00023027,0.00023027
110,447.911,0.82075,0.56156,0.24574,0.53338,0.97836,0.99362,1,0.995,0.71714,0.91082,0.91667,0.91244,0.87945,1.09867,0.9951,0.03913,0.47836,1.01285,0.000227772,0.000227772,0.000227772
111,453.56,0.83122,0.25636,0.27477,0.57123,1.00951,0.99367,1,0.995,0.74663,0.91087,0.91667,0.86409,0.83442,1.0119,0.95126,0.04124,0.45779,0.97035,0.000225275,0.000225275,0.000225275
112,458.005,0.93096,0.32696,0.32687,0.66461,1.10814,0.99367,1,0.995,0.74663,0.91087,0.91667,0.86409,0.83442,1.0119,0.95126,0.04124,0.45779,0.97035,0.000222777,0.000222777,0.000222777
113,466.124,0.85067,0.70477,0.29431,0.58504,0.98616,0.99375,1,0.995,0.68134,0.91398,0.91667,0.9294,0.9259,1.07564,0.81845,0.03827,0.48778,0.99669,0.00022028,0.00022028,0.00022028
114,470.001,0.82502,0.29618,0.471,0.59658,1.05795,0.99375,1,0.995,0.68134,0.91398,0.91667,0.9294,0.9259,1.07564,0.81845,0.03827,0.48778,0.99669,0.000217783,0.000217783,0.000217783
115,473.489,0.82796,0.17624,0.37604,0.54364,1.06939,0.99501,1,0.995,0.69544,0.91199,0.91667,0.87501,0.86389,1.08913,0.8016,0.03863,0.47706,0.99721,0.000215285,0.000215285,0.000215285
